         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8145    0.001    0.000    0.001    0.000 wKmeans.py:217(<lambda>)
       54    0.000    0.000    0.000    0.000 wKmeans.py:224(<listcomp>)
       54    0.000    0.000    0.000    0.000 wKmeans.py:225(<listcomp>)
       54    0.000    0.000    0.000    0.000 wKmeans.py:226(<listcomp>)
       54    0.000    0.000    0.000    0.000 wKmeans.py:256(<listcomp>)
       54    0.001    0.000    0.018    0.000 wKmeans.py:290(_reevaluate_centers)
       71    0.001    0.000    0.012    0.000 wKmeans.py:301(_has_converged)
       17    0.005    0.000    0.199    0.012 wKmeans.py:331(find_centers)
     8616    0.032    0.000    0.142    0.000 wKmeans.py:40(euclidean)
       54    0.000    0.000    0.161    0.003 wKmeans.py:52(wrapped)
       17    0.002    0.000    0.003    0.000 wKmeans.py:58(__init__)
       17    0.000    0.000    0.000    0.000 wKmeans.py:84(<listcomp>)
       17    0.000    0.000    0.000    0.000 wKmeans.py:99(<listcomp>)
       16    0.000    0.000    0.000    0.000 weakref.py:109(remove)
       72    0.000    0.000    0.001    0.000 weakref.py:165(__setitem__)
       72    0.000    0.000    0.000    0.000 weakref.py:334(__new__)
       72    0.000    0.000    0.000    0.000 weakref.py:339(__init__)
     9961    0.028    0.000    0.028    0.000 weakref.py:354(__init__)
     9960    0.013    0.000    0.013    0.000 weakref.py:356(remove)
     9960    0.013    0.000    0.013    0.000 weakref.py:406(__setitem__)
       72    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x106c08840}
        4    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       26    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       26    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      180    0.003    0.000    0.003    0.000 {built-in method _pickle.dumps}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.pack}
    35324    0.038    0.000    0.038    0.000 {built-in method _thread.allocate_lock}
    41276    0.016    0.000    0.016    0.000 {built-in method _thread.get_ident}
    13749    0.527    0.000    0.527    0.000 {built-in method _thread.start_new_thread}
       16    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       18    0.000    0.000    0.000    0.000 {built-in method atexit.register}
       12    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
     1244    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
     1263    0.073    0.000    0.074    0.000 {built-in method builtins.eval}
      5/1    0.000    0.000  139.103  139.103 {built-in method builtins.exec}
    15435    0.025    0.000    0.025    0.000 {built-in method builtins.getattr}
    45400    0.051    0.000    0.051    0.000 {built-in method builtins.hasattr}
       90    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    28596    0.019    0.000    0.042    0.000 {built-in method builtins.isinstance}
309737/309718    0.098    0.000    0.099    0.000 {built-in method builtins.issubclass}
     1263    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
    85604    0.022    0.000    0.024    0.000 {built-in method builtins.len}
    23568    0.030    0.000    0.030    0.000 {built-in method builtins.max}
     2082    0.012    0.000    0.017    0.000 {built-in method builtins.min}
     3129    0.003    0.000    0.007    0.000 {built-in method builtins.next}
       57    0.035    0.001    0.035    0.001 {built-in method builtins.print}
     5916    0.004    0.000    0.004    0.000 {built-in method builtins.setattr}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        8    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       18    0.490    0.027    0.490    0.027 {built-in method gc.collect}
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        4    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       17    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       17    0.000    0.000    0.000    0.000 {built-in method math.log}
     1245    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.arange}
   188073    0.148    0.000    0.148    0.000 {built-in method numpy.core.multiarray.array}
       18    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.c_einsum}
       18    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.can_cast}
     2508    0.028    0.000    0.028    0.000 {built-in method numpy.core.multiarray.concatenate}
       35    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.copyto}
   154284    0.378    0.000    0.378    0.000 {built-in method numpy.core.multiarray.dot}
       35    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
       18    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.normalize_axis_index}
     1116    0.002    0.000    0.002    0.000 {built-in method numpy.core.multiarray.where}
      139    0.000    0.000    0.000    0.000 {built-in method posix.WEXITSTATUS}
      139    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
      144    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        5    0.000    0.000    0.000    0.000 {built-in method posix.WTERMSIG}
      305    0.004    0.000    0.004    0.000 {built-in method posix.close}
     1263    0.019    0.000    0.019    0.000 {built-in method posix.cpu_count}
      144    0.116    0.001    0.116    0.001 {built-in method posix.fork}
      106    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     3358    0.002    0.000    0.002    0.000 {built-in method posix.getpid}
       69    0.000    0.000    0.000    0.000 {built-in method posix.kill}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
      180    0.005    0.000    0.005    0.000 {built-in method posix.pipe}
       18    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
       65    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.002    0.002    0.002    0.002 {built-in method posix.unlink}
       18    0.001    0.000    0.001    0.000 {built-in method posix.unsetenv}
      738    0.016    0.000    0.016    0.000 {built-in method posix.waitpid}
       18    0.000    0.000    0.000    0.000 {built-in method posix.write}
        1    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
     3959    0.003    0.000    0.003    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x107c02a60}
    19105    0.016    0.000    0.016    0.000 {method '__enter__' of '_thread.lock' objects}
    19105    0.007    0.000    0.007    0.000 {method '__exit__' of '_thread.lock' objects}
       25    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       17    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
       36    1.263    0.035    1.263    0.035 {method 'acquire' of '_multiprocessing.SemLock' objects}
    69423  129.137    0.002  129.137    0.002 {method 'acquire' of '_thread.lock' objects}
    14089    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
       38    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
    17794    0.006    0.000    0.006    0.000 {method 'append' of 'collections.deque' objects}
    18373    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
       18    0.001    0.000    0.001    0.000 {method 'argmin' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.002    0.002 {method 'array_from_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
      736    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     1245    0.000    0.000    0.000    0.000 {method 'clear' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      162    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       19    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       18    0.000    0.000    0.000    0.000 {method 'copy' of 'set' objects}
   364802    0.089    0.000    0.089    0.000 {method 'count' of 'list' objects}
       54    0.000    0.000    0.000    0.000 {method 'count' of 'str' objects}
       20    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
    14037    0.005    0.000    0.005    0.000 {method 'discard' of 'set' objects}
       18    0.001    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
      111    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     1245    0.001    0.000    0.001    0.000 {method 'extend' of 'collections.deque' objects}
     1437    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      967    0.003    0.000    0.003    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      288    0.004    0.000    0.004    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        3    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
     1416    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     1218    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       18    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.BytesIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'item' of 'numpy.ndarray' objects}
       72    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     2859    0.010    0.000    0.021    0.000 {method 'join' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     3789    0.001    0.000    0.001    0.000 {method 'locked' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       18    0.000    0.000    0.001    0.000 {method 'mean' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1505    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
       18    0.001    0.000    0.001    0.000 {method 'randint' of 'mtrand.RandomState' objects}
   154284    0.320    0.000    0.320    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        6    0.006    0.001    0.006    0.001 {method 'read' of '_io.BufferedReader' objects}
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.000    0.000 {method 'read_full_tag' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
        1    0.000    0.000    0.000    0.000 {method 'read_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
     3682    0.061    0.000    0.061    0.000 {method 'reduce' of 'numpy.ufunc' objects}
       18    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
    31374    0.075    0.000    0.075    0.000 {method 'release' of '_thread.lock' objects}
    12468    0.005    0.000    0.005    0.000 {method 'remove' of 'collections.deque' objects}
       26    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
    10158    0.012    0.000    0.012    0.000 {method 'replace' of 'str' objects}
     1249    0.003    0.000    0.003    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    10261    0.016    0.000    0.016    0.000 {method 'rpartition' of 'str' objects}
      188    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method 'set_stream' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
        2    0.001    0.000    0.001    0.000 {method 'sort' of 'numpy.ndarray' objects}
       73    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
     1359    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'bytes' objects}
     2508    0.005    0.000    0.056    0.000 {method 'sum' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 {method 'swapaxes' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
     4432    0.005    0.000    0.005    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     1469    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.BufferedWriter' objects}
