         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   145668    0.607    0.000    2.856    0.000 MiLOF.py:49(ComputeDist)
    22497    0.058    0.000    0.058    0.000 MiLOF.py:53(union)
       58    0.003    0.000    0.003    0.000 MiLOF.py:59(setdiff)
     1243    0.881    0.001  135.723    0.109 MiLOF.py:65(IncrementalLOF_Fixed)
    10976    0.004    0.000    0.004    0.000 MiLOF.py:87(<genexpr>)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
     2507    0.002    0.000    0.002    0.000 __init__.py:29(get_config)
        1    0.000    0.000    0.000    0.000 __init__.py:34(DummyProcess)
     9960    0.044    0.000    0.366    0.000 __init__.py:36(__init__)
     2498    0.010    0.000    0.010    0.000 __init__.py:399(gen_even_slices)
     9960    0.045    0.000    1.718    0.000 __init__.py:43(start)
     1245    0.004    0.000    0.032    0.000 __init__.py:433(_get_n_jobs)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:97(Value)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
       39    0.000    0.000    0.001    0.000 _collections_abc.py:657(get)
       18    0.000    0.000    0.002    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _internal.py:359(_view_is_safe)
       18    0.001    0.000    0.004    0.000 _methods.py:133(_std)
        1    0.000    0.000    0.000    0.000 _methods.py:25(_amax)
        1    0.000    0.000    0.000    0.000 _methods.py:28(_amin)
     3042    0.002    0.000    0.057    0.000 _methods.py:31(_sum)
       38    0.000    0.000    0.000    0.000 _methods.py:40(_all)
      563    0.001    0.000    0.002    0.000 _methods.py:43(_count_reduce_items)
      527    0.008    0.000    0.018    0.000 _methods.py:53(_mean)
       36    0.004    0.000    0.006    0.000 _methods.py:86(_var)
     1263    0.001    0.000    0.002    0.000 _parallel_backends.py:120(effective_n_jobs)
     1263    0.098    0.000  128.516    0.102 _parallel_backends.py:132(terminate)
     1433    0.005    0.000    0.068    0.000 _parallel_backends.py:139(apply_async)
      198    0.001    0.000    0.001    0.000 _parallel_backends.py:168(compute_batch_size)
     1245    0.006    0.000    3.227    0.003 _parallel_backends.py:243(configure)
       18    0.000    0.000    0.001    0.000 _parallel_backends.py:268(effective_n_jobs)
